player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Ismaila Sarr,FW,Senegal,24-285,1998,4,344,86,95.6,3.8,4,86,3,0,,0,1.50,4,6,-2,-0.52,-0.52,4.3,3.3,+1.0,+0.27,+0.30
Ismaël Koné,MF,Canada,20-184,2002,3,109,36,40.4,1.2,0,,0,3,36,0,0.00,0,2,-2,-1.65,+0.03,1.5,2.0,-0.5,-0.41,-0.87
Issam Jebali,FW,Tunisia,30-347,1991,3,182,61,67.4,2.0,2,76,0,1,31,0,1.33,0,1,-1,-0.49,-1.52,1.4,2.4,-1.0,-0.49,-1.00
Ivan Ilić,MF,Serbia,21-265,2001,1,34,34,12.6,0.4,0,,0,1,34,2,0.00,0,2,-2,-5.29,-4.91,0.2,1.4,-1.2,-3.18,-2.13
Ivan Perišić,FW,Croatia,33-308,1989,4,369,92,94.6,4.1,4,92,1,0,,0,1.50,4,2,+2,+0.49,-3.80,4.4,5.0,-0.6,-0.14,-3.51
Ivica Ivušić,GK,Croatia,27-309,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ivo Grbić,GK,Croatia,26-323,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
Iñaki Williams,FW,Ghana,28-175,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,3.5,5.4,-1.8,-0.66,-2.61
Jack Grealish,FW,England,27-088,1995,4,85,21,23.6,0.9,0,,0,4,21,0,2.50,2,1,+1,+1.06,-1.89,2.5,1.4,+1.0,+1.08,+0.38
Jackson Irvine,MF,Australia,29-275,1993,4,354,89,98.3,3.9,4,89,3,0,,0,1.50,4,6,-2,-0.51,-0.51,2.3,6.9,-4.6,-1.17,+3.76
Jackson Porozo,DF,Ecuador,22-125,2000,2,96,48,35.6,1.1,1,90,1,1,6,1,0.50,1,1,0,0.00,-0.52,1.8,0.1,+1.6,+1.55,+1.79
Jakub Kamiński,MF,Poland,20-185,2002,4,233,58,64.7,2.6,2,80,1,2,37,0,1.00,1,3,-2,-0.77,-0.77,3.0,3.8,-0.8,-0.31,+1.07
Jakub Kiwior,DF,Poland,22-295,2000,4,355,89,98.6,3.9,4,89,3,0,,0,1.00,2,4,-2,-0.51,-0.51,3.6,7.3,-3.7,-0.93,-21.53
Jamal Musiala,MF,Germany,19-284,2003,3,258,86,95.6,2.9,3,86,2,0,,0,1.33,6,4,+2,+0.70,+8.20,9.5,3.3,+6.2,+2.17,-1.02
James Maddison,FW,England,26-014,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,
James Pantemis,GK,Canada,25-289,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jamie Maclaren,FW,Australia,29-131,1993,3,55,18,15.3,0.6,0,,0,3,18,1,2.00,1,0,+1,+1.64,+2.52,0.6,1.6,-1.0,-1.55,-0.39
Jan Bednarek,DF,Poland,26-239,1996,1,5,5,1.4,0.1,0,,0,1,5,3,0.00,1,1,0,0.00,+0.51,1.0,0.0,+0.9,+20.60,+21.53
Jan Vertonghen,DF,Belgium,35-227,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Jason Cummings,FW,Australia,27-128,1995,1,35,35,9.7,0.4,0,,0,1,35,3,0.00,0,2,-2,-5.14,-5.14,0.0,1.6,-1.6,-4.22,-3.31
Jassem Gaber,DF,Qatar,20-290,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jawad El Yamiq,DF,Morocco,30-281,1992,3,64,21,16.4,0.7,0,,0,3,21,1,2.33,1,0,+1,+1.41,+0.85,0.9,0.7,+0.3,+0.71,+0.95
Jean-Charles Castelletto,DF,Cameroon,27-315,1995,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80
Jean-Pierre Nsame,FW,Cameroon,29-220,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jens Stryger Larsen,DF,Denmark,31-289,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jeong Woo-yeong,MF,Korea Republic,23-078,1999,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-3.71,0.4,1.2,-0.8,-1.66,-1.18
Jeremie Frimpong,DF,Netherlands,21-362,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jeremy Doku,MF,Belgium,20-194,2002,1,19,19,7.0,0.2,0,,0,1,19,2,1.00,0,0,0,0.00,+0.36,1.0,0.0,+1.0,+4.88,+5.19
Jeremy Sarmiento,MF,Ecuador,20-174,2002,3,85,28,31.5,0.9,0,,0,3,28,0,1.33,1,1,0,0.00,-0.49,0.9,0.6,+0.3,+0.32,-0.10
Jerome Ngom Mbekeli,MF,Cameroon,24-068,1998,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,1,0,+1,+18.00,+18.34,0.1,1.0,-0.9,-15.50,-14.99
Jesper Lindstrøm,MF,Denmark,22-281,2000,3,200,67,74.1,2.2,2,87,1,1,26,0,0.33,1,2,-1,-0.45,+0.84,2.3,2.3,0.0,+0.02,+1.58
Jesús Ferreira,FW,United States,21-348,2000,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-4.29,0.5,0.4,+0.1,+0.16,+0.27
Jesús Gallardo,DF,Mexico,28-114,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Jewison Bennette,MF,Costa Rica,18-175,2004,3,103,34,38.1,1.1,1,60,0,2,22,0,1.00,1,6,-5,-4.37,-2.75,0.1,5.8,-5.7,-4.97,-3.35
Jhegson Méndez,MF,Ecuador,25-225,1997,2,180,90,66.7,2.0,2,90,2,0,,0,2.00,3,1,+2,+1.00,+2.00,2.9,0.4,+2.4,+1.22,+2.48
Joachim Andersen,DF,Denmark,26-190,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Joakim Mæhle,DF,Denmark,25-201,1997,3,249,83,92.2,2.8,3,83,2,0,,0,0.33,1,3,-2,-0.72,-0.72,2.5,3.8,-1.3,-0.49,-1.19
Joe Allen,MF,Wales,32-268,1990,2,94,47,34.8,1.0,1,80,0,1,14,1,0.00,0,5,-5,-4.79,-4.79,0.4,2.6,-2.2,-2.06,-2.20
Joe Morrell,MF,Wales,25-338,1997,2,33,17,12.2,0.4,0,,0,2,17,1,0.50,0,1,-1,-2.73,-1.21,0.2,1.2,-1.0,-2.66,-2.32
Joe Rodon,DF,Wales,25-046,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Joe Scally,DF,United States,19-341,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Campbell,FW,Costa Rica,30-164,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,10.1,-8.7,-2.91,-2.91
Joel King,DF,Australia,22-038,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Waterman,DF,Canada,26-317,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Johan Venegas,FW,Costa Rica,34-010,1988,1,73,73,27.0,0.8,1,73,0,0,,2,0.00,2,2,0,0.00,+3.65,1.3,3.0,-1.7,-2.11,+1.08
Johan Vásquez,DF,Mexico,24-046,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
John Stones,DF,England,28-193,1994,4,345,86,95.8,3.8,4,86,3,0,,0,2.50,12,2,+10,+2.61,+2.61,6.1,2.9,+3.2,+0.83,+1.08
Jonas Hofmann,FW,Germany,30-146,1992,2,30,15,11.1,0.3,0,,0,2,15,1,0.50,0,2,-2,-6.00,-7.12,1.1,1.1,0.0,-0.06,-2.56
Jonas Omlin,GK,Switzerland,28-331,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jonas Wind,FW,Denmark,23-303,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jonathan David,FW,Canada,22-327,2000,3,192,64,71.1,2.1,2,81,1,1,31,0,0.00,1,4,-3,-1.41,+0.90,3.6,2.4,+1.2,+0.56,+1.54
Jonathan Osorio,MF,Canada,30-178,1992,3,119,40,44.1,1.3,1,64,0,2,28,0,0.00,1,4,-3,-2.27,-1.08,1.0,2.4,-1.4,-1.08,-2.13
Jonny Williams,FW,Wales,29-059,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordan Ayew,FW,Ghana,31-087,1991,3,136,45,50.4,1.5,2,61,0,1,14,0,1.00,4,6,-2,-1.32,-1.32,3.0,3.3,-0.4,-0.26,+0.44
Jordan Henderson,MF,England,32-173,1990,3,193,64,53.6,2.1,2,86,1,1,22,1,2.33,6,0,+6,+2.80,+0.64,3.5,0.9,+2.6,+1.19,+0.87
Jordan Morris,FW,United States,28-042,1994,2,4,2,1.1,0.0,0,,0,2,2,2,0.50,0,0,0,0.00,+0.25,0.1,0.1,0.0,+0.18,+0.25
Jordan Pickford,GK,England,28-275,1994,4,360,90,100.0,4.0,4,90,4,0,,0,2.50,12,2,+10,+2.50,,6.3,3.1,+3.2,+0.79,
Jordan Veretout,MF,France,29-281,1993,1,62,62,17.2,0.7,1,62,0,0,,3,0.00,0,1,-1,-1.45,-3.26,0.2,0.5,-0.3,-0.44,-2.10
Jordi Alba,DF,Spain,33-261,1989,4,264,66,67.7,2.9,3,80,0,1,23,0,1.25,5,0,+5,+1.70,+0.99,4.3,1.7,+2.5,+0.86,+0.70
Jorge Eduardo Sánchez,DF,Mexico,24-362,1997,2,175,88,64.8,1.9,2,88,1,0,,1,2.00,2,0,+2,+1.03,+3.87,2.9,1.4,+1.4,+0.74,+1.25
Joseph Aidoo,DF,Ghana,27-069,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Josh Sargent,FW,United States,22-290,2000,3,157,52,43.6,1.7,2,75,0,1,8,1,1.67,2,0,+2,+1.15,+2.48,1.7,1.1,+0.6,+0.36,+0.77
Joshua Kimmich,MF,Germany,27-302,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Josip Juranović,DF,Croatia,27-113,1995,4,390,98,100.0,4.3,4,98,4,0,,0,1.50,5,2,+3,+0.69,,5.2,5.0,+0.2,+0.05,+0.05
Josip Stanišić,DF,Croatia,22-249,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Josip Šutalo,DF,Croatia,22-282,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
José Cifuentes,MF,Ecuador,23-270,1999,2,59,30,21.9,0.7,0,,0,2,30,1,1.50,1,1,0,0.00,-0.43,0.8,0.6,+0.3,+0.39,-0.01
José Luis Rodríguez Bebanz,DF,Uruguay,25-268,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
José María Giménez,DF,Uruguay,27-321,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
José Sá,GK,Portugal,29-324,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,
João Cancelo,DF,Portugal,28-194,1994,3,270,90,75.0,3.0,3,90,3,0,,1,2.00,6,4,+2,+0.67,-4.33,4.6,3.9,+0.7,+0.24,-0.80
João Félix,FW,Portugal,23-027,1999,3,241,80,66.9,2.7,3,80,0,0,,1,3.00,9,2,+7,+2.61,+2.61,4.4,2.8,+1.6,+0.61,+0.51
João Mário,FW,Portugal,29-322,1993,2,84,42,23.3,0.9,1,81,0,1,3,2,1.50,1,2,-1,-1.07,-3.68,1.3,1.5,-0.2,-0.23,-0.87
João Palhinha,MF,Portugal,27-151,1995,3,38,13,10.6,0.4,0,,0,3,13,1,2.00,1,2,-1,-2.37,-4.60,1.1,1.4,-0.2,-0.57,-1.13
Joško Gvardiol,DF,Croatia,20-318,2002,4,390,98,100.0,4.3,4,98,4,0,,0,1.50,5,2,+3,+0.69,,5.2,5.0,+0.2,+0.05,+0.05
Juan Foyth,DF,Argentina,24-329,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Juan Pablo Vargas,DF,Costa Rica,27-184,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,4,-2,-2.00,+1.00,1.3,5.7,-4.4,-4.40,-2.25
Jude Bellingham,MF,England,19-161,2003,4,324,81,90.0,3.6,4,81,2,0,,0,2.50,12,2,+10,+2.78,+2.78,5.8,2.9,+3.0,+0.82,+0.31
Jules Koundé,DF,France,24-025,1998,3,181,60,50.3,2.0,2,90,1,1,2,1,3.00,5,1,+4,+1.99,+1.49,4.1,1.4,+2.7,+1.33,+0.07
Julian Brandt,FW,Germany,26-219,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Julián Álvarez,FW,Argentina,22-310,2000,4,208,52,57.8,2.3,2,74,0,2,30,0,2.25,6,0,+6,+2.60,+3.78,5.0,0.4,+4.6,+1.99,+1.01
Jung Woo-young,MF,Korea Republic,32-358,1989,4,303,76,84.2,3.4,4,76,2,0,,0,1.00,4,8,-4,-1.19,-2.77,3.9,6.3,-2.4,-0.70,-0.47
Junior Hoilett,FW,Canada,32-185,1990,3,161,54,59.6,1.8,2,66,0,1,29,0,0.00,1,5,-4,-2.24,-1.41,3.5,2.5,+1.0,+0.57,+1.13
Junya Ito,MF,Japan,29-273,1993,4,324,81,83.1,3.6,3,100,3,1,24,0,1.75,5,4,+1,+0.28,+0.28,4.5,5.6,-1.1,-0.34,-0.75
Jurriën Timber,DF,Netherlands,21-173,2001,3,270,90,75.0,3.0,3,90,3,0,,1,2.33,6,2,+4,+1.33,-0.67,3.4,3.3,+0.1,+0.03,+0.25
Justin Bijlow,GK,Netherlands,24-319,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Kai Havertz,FW,Germany,23-179,1999,2,102,51,37.8,1.1,1,78,0,1,24,1,1.50,4,2,+2,+1.76,+2.30,6.0,1.9,+4.1,+3.59,+2.22
Kalidou Koulibaly,DF,Senegal,31-170,1991,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.6,3.5,+1.0,+0.26,
Kalvin Phillips,MF,England,27-005,1995,2,42,21,11.7,0.5,0,,0,2,21,2,3.00,1,0,+1,+2.14,-0.40,1.4,0.4,+0.9,+2.01,+1.38
Kamal Miller,DF,Canada,25-205,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Kamal Sowah,FW,Ghana,22-332,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kamaldeen Sulemana,FW,Ghana,20-295,2002,2,58,29,21.5,0.6,0,,0,2,29,1,1.50,0,0,0,0.00,+0.85,0.7,0.8,-0.1,-0.10,+0.48
Kamil Glik,DF,Poland,34-307,1988,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,3,5,-2,-0.50,,4.5,7.3,-2.7,-0.69,
Kamil Grabara,GK,Poland,23-333,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Kamil Grosicki,MF,Poland,34-182,1988,1,4,4,1.1,0.0,0,,0,1,4,3,0.00,1,1,0,0.00,+0.51,1.0,0.0,+0.9,+20.60,+21.53
Kaoru Mitoma,MF,Japan,25-201,1997,4,165,41,42.3,1.8,0,,0,4,41,0,1.75,4,1,+3,+1.64,+2.44,3.4,2.3,+1.1,+0.71,+1.32
Karim Adeyemi,FW,Germany,20-323,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Karim Ansarifard,FW,IR Iran,32-248,1990,2,35,18,13.0,0.4,0,,0,2,18,1,1.50,2,0,+2,+5.14,+7.06,0.9,0.4,+0.5,+1.22,+1.77
Karim Boudiaf,MF,Qatar,32-082,1990,3,185,62,68.5,2.1,2,79,1,1,27,0,0.00,0,4,-4,-1.95,+0.17,1.1,1.7,-0.6,-0.30,+1.31
Karl Toko Ekambi,FW,Cameroon,30-084,1992,3,166,55,61.5,1.8,2,70,0,1,27,0,1.33,4,4,0,0.00,0.00,3.1,3.9,-0.8,-0.42,+0.95
Karol Świderski,FW,Poland,25-318,1997,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,+0.57,0.2,1.8,-1.6,-3.10,-2.76
Kasper Dolberg,FW,Denmark,25-062,1997,3,114,38,42.2,1.3,1,64,0,2,25,0,0.33,0,2,-2,-1.58,-1.58,0.8,2.1,-1.3,-1.04,-1.11
Kasper Schmeichel,GK,Denmark,36-032,1986,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Keanu Baccus,MF,Australia,24-183,1998,4,114,29,31.7,1.3,1,57,0,3,19,0,1.50,1,2,-1,-0.79,-0.42,0.5,1.6,-1.1,-0.89,+0.50
Kellyn Acosta,MF,United States,27-136,1995,2,43,22,11.9,0.5,0,,0,2,22,2,2.00,0,1,-1,-2.09,-2.09,0.4,1.1,-0.7,-1.57,-1.69
Kendall Waston,DF,Costa Rica,34-340,1988,3,225,75,83.3,2.5,2,90,2,1,45,0,1.00,3,8,-5,-2.00,+4.00,1.4,7.7,-6.2,-2.49,+2.46
Kenneth Taylor,MF,Netherlands,20-205,2002,1,5,5,1.4,0.1,0,,0,1,5,3,3.00,0,0,0,0.00,-1.52,0.0,0.0,0.0,+0.09,+0.12
Kevin De Bruyne,FW,Belgium,31-162,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Kevin Rodríguez,FW,Ecuador,22-278,2000,2,2,1,0.7,0.0,0,,0,2,1,1,2.00,0,0,0,0.00,-0.34,,,,,
Kevin Trapp,GK,Germany,32-152,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kevin Álvarez,DF,Mexico,23-326,1999,2,70,35,25.9,0.8,1,65,0,1,5,1,1.50,0,2,-2,-2.57,-3.02,0.4,0.8,-0.4,-0.53,-1.12
Keylor Navas,GK,Costa Rica,35-357,1986,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,11,-8,-2.67,,1.4,10.1,-8.7,-2.90,
Keysher Fuller,DF,Costa Rica,28-149,1994,3,253,84,93.7,2.8,3,84,2,0,,0,1.00,3,9,-6,-2.13,+8.45,1.4,7.4,-6.0,-2.14,+12.11
Khalid Muneer,FW,Qatar,24-286,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kieffer Moore,FW,Wales,30-121,1992,3,225,75,83.3,2.5,2,90,2,1,45,0,0.33,1,5,-4,-1.60,+0.40,2.6,3.9,-1.4,-0.55,+0.44
Kieran Trippier,DF,England,32-079,1990,3,206,69,57.2,2.3,2,90,2,1,26,1,2.33,7,2,+5,+2.18,-0.74,4.1,2.2,+1.9,+0.82,+0.06
Kim Jin-su,DF,Korea Republic,30-177,1992,4,315,79,87.5,3.5,4,79,3,0,,0,1.00,4,8,-4,-1.14,-3.14,4.3,6.3,-2.0,-0.57,+0.49
Kim Min-jae,DF,Korea Republic,26-022,1996,3,269,90,74.7,3.0,3,90,2,0,,1,0.33,3,7,-4,-1.34,-2.33,2.8,5.8,-3.0,-1.02,-1.53
Kim Moonhwan,DF,Korea Republic,27-128,1995,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.6,7.1,-2.5,-0.63,
Kim Seung-gyu,GK,Korea Republic,32-068,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.6,7.1,-2.5,-0.63,
Kim Tae-hwan,DF,Korea Republic,33-136,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
Kim Young-gwon,DF,Korea Republic,32-283,1990,4,350,88,97.2,3.9,4,88,3,0,,0,1.00,4,8,-4,-1.03,-10.03,3.9,7.1,-3.2,-0.81,-6.52
Kingsley Coman,FW,France,26-177,1996,4,107,27,29.7,1.2,1,62,0,3,15,0,2.25,2,2,0,0.00,-1.78,1.7,1.6,+0.1,+0.10,-1.70
Ko Itakura,DF,Japan,25-314,1997,3,270,90,69.2,3.0,3,90,3,0,,0,2.00,4,3,+1,+0.33,+0.33,3.8,4.2,-0.4,-0.14,+0.04
Koen Casteels,GK,Belgium,30-165,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Koke,MF,Spain,30-333,1992,2,52,26,13.3,0.6,0,,0,2,26,2,2.00,3,1,+2,+3.46,+2.40,0.8,1.0,-0.2,-0.33,-1.11
Kristijan Jakić,MF,Croatia,25-207,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Krystian Bielik,MF,Poland,24-337,1998,4,216,54,60.0,2.4,2,76,1,2,33,0,1.00,3,3,0,0.00,+1.25,3.8,4.8,-1.0,-0.41,+0.69
Krzysztof Piątek,FW,Poland,27-159,1995,2,28,14,7.8,0.3,0,,0,2,14,2,1.50,1,0,+1,+3.21,+4.03,0.8,0.6,+0.2,+0.56,+1.35
Krépin Diatta,FW,Senegal,23-285,1999,3,181,60,50.3,2.0,3,60,0,0,,1,1.00,2,2,0,0.00,+1.01,1.4,1.3,+0.1,+0.05,-0.41
Kudus Mohammed,FW,Ghana,22-127,2000,3,247,82,91.5,2.7,3,82,0,0,,0,1.00,4,5,-1,-0.36,+3.55,3.6,4.6,-0.9,-0.33,+1.68
Kwon Chang-hoon,FW,Korea Republic,28-160,1994,1,56,56,15.6,0.6,1,56,0,0,,3,0.00,0,2,-2,-3.21,-2.92,0.5,1.3,-0.8,-1.25,-0.73
Kwon Kyung-won,DF,Korea Republic,30-310,1992,2,91,46,25.3,1.0,1,90,1,1,1,2,1.50,2,1,+1,+0.99,+2.33,1.8,1.3,+0.5,+0.51,+1.53
Kye Rowles,DF,Australia,24-166,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Kyle Walker,DF,England,32-193,1990,2,146,73,40.6,1.6,2,73,1,0,,2,3.00,5,0,+5,+3.08,+0.98,2.2,0.9,+1.3,+0.80,+0.02
Kylian Mbappé,FW,France,23-352,1998,4,298,75,82.8,3.3,3,90,3,1,28,0,2.25,9,3,+6,+1.81,+3.26,8.4,2.9,+5.5,+1.66,+2.10
Lautaro Martínez,FW,Argentina,25-107,1997,4,184,46,51.1,2.0,2,76,1,2,16,0,2.25,1,3,-2,-0.98,-4.05,3.7,0.9,+2.8,+1.38,-0.39
Lawrence Ati-Zigi,GK,Ghana,26-008,1996,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,
Leander Dendoncker,DF,Belgium,27-236,1995,2,161,81,59.6,1.8,2,81,1,0,,1,2.00,1,0,+1,+0.56,+2.21,2.7,3.1,-0.3,-0.19,-0.61
Leandro Paredes,MF,Argentina,28-161,1994,2,90,45,25.0,1.0,1,58,0,1,32,2,1.50,2,2,0,0.00,-1.33,2.3,0.1,+2.1,+2.13,+0.75
Leandro Trossard,FW,Belgium,28-003,1994,3,103,34,38.1,1.1,1,58,0,2,23,0,1.33,0,1,-1,-0.87,-0.87,1.4,1.4,0.0,-0.01,-0.10
Lee Jae-sung,MF,Korea Republic,30-119,1992,3,211,70,58.6,2.3,3,70,0,0,,1,1.33,1,5,-4,-1.71,-2.31,1.7,4.9,-3.2,-1.36,-1.77
Lee Kangin,MF,Korea Republic,21-291,2001,4,147,37,40.8,1.6,1,80,0,3,22,0,1.00,4,2,+2,+1.22,+3.34,2.5,2.1,+0.4,+0.26,+1.51
Leon Goretzka,MF,Germany,27-304,1995,3,159,53,58.9,1.8,2,68,1,1,24,0,1.33,2,3,-1,-0.57,-2.19,3.8,2.0,+1.7,+0.98,-3.01
Leroy Sané,FW,Germany,26-330,1996,2,111,56,41.1,1.2,1,90,1,1,21,1,2.00,5,2,+3,+2.43,+3.56,6.7,1.3,+5.4,+4.38,+3.67
Liam Fraser,MF,Canada,24-297,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Liam Millar,DF,Canada,23-071,1999,1,10,10,3.7,0.1,0,,0,1,10,2,0.00,0,0,0,0.00,+1.73,0.1,0.2,-0.1,-0.77,-0.91
Lionel Messi,FW,Argentina,35-166,1987,4,360,90,100.0,4.0,4,90,4,0,,0,2.25,7,3,+4,+1.00,,7.6,1.3,+6.3,+1.57,
Lisandro Martínez,DF,Argentina,24-323,1998,3,163,54,45.3,1.8,1,90,1,2,37,1,2.00,3,1,+2,+1.10,+0.19,3.0,0.8,+2.3,+1.25,-0.58
Lovro Majer,MF,Croatia,24-324,1998,4,40,10,10.3,0.4,0,,0,4,10,0,1.50,1,0,+1,+2.25,+1.74,0.9,0.2,+0.7,+3.40,+3.51
Loïs Openda,FW,Belgium,22-294,2000,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.35,0.2,0.2,0.0,-0.07,-0.13
Luca de la Torre,MF,United States,24-198,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Lucas Cavallini,FW,Canada,29-344,1992,1,19,19,7.0,0.2,0,,0,1,19,2,0.00,0,1,-1,-4.74,-3.30,0.1,1.0,-0.9,-4.26,-4.71
Lucas Hernández,DF,France,26-296,1996,1,12,12,3.3,0.1,1,12,0,0,,0,3.00,0,1,-1,-7.50,-9.05,0.0,0.3,-0.3,-2.15,-3.57
Lucas Paquetá,MF,Brazil,25-102,1997,3,209,70,58.1,2.3,3,70,1,0,,1,3.00,6,1,+5,+2.15,+2.15,6.3,0.6,+5.6,+2.43,+1.01
Lucas Torreira,MF,Uruguay,26-299,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luis Chávez,MF,Mexico,26-326,1996,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Luis Romo,DF,Mexico,27-185,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luis Suárez,FW,Uruguay,35-317,1987,3,146,49,54.1,1.6,2,64,0,1,18,0,1.33,2,1,+1,+0.62,+1.34,2.4,2.5,-0.1,-0.04,-0.19
Luka Jović,FW,Serbia,24-349,1997,1,36,36,13.3,0.4,0,,0,1,36,1,0.50,3,3,0,0.00,+1.15,0.2,1.1,-0.8,-2.10,-0.90
Luka Modrić,MF,Croatia,37-089,1985,4,363,91,93.1,4.0,4,91,2,0,,0,1.50,4,2,+2,+0.50,-2.84,4.3,4.8,-0.5,-0.12,-2.38
Luka Sučić,MF,Croatia,20-090,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Lukas Klostermann,DF,Germany,26-187,1996,2,66,33,24.4,0.7,0,,0,2,33,1,2.00,4,2,+2,+2.73,+3.17,5.4,1.1,+4.3,+5.85,+4.81
Luke Shaw,DF,England,27-148,1995,4,334,84,92.8,3.7,4,84,3,0,,0,2.50,11,2,+9,+2.43,-1.04,5.1,2.9,+2.2,+0.59,-2.79
Luuk de Jong,FW,Netherlands,32-102,1990,0,,,,,0,,0,0,,4,,,,,,,,,,,
Majid Hosseini,DF,IR Iran,26-170,1996,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,
Mamadou Loum,MF,Senegal,25-342,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
Manaf Nurudeen,GK,Ghana,23-302,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
